Line #,Original Item Description,Nodes Created,File Path,Type,Confidence,Status
10,"Ch.8: Inflation Targeting and Economic Performance","Inflation_Targeting_Economic_Performance_Evaluation","E:\Wiki Link\03_wiki\concepts\Inflation_Targeting_Economic_Performance_Evaluation.md",concept,4,created
11,"Ch.8: Concluding Remarks","Inflation_Targeting_Framework_Institutional_Evolution","E:\Wiki Link\03_wiki\mechanisms\Inflation_Targeting_Framework_Institutional_Evolution.md",mechanism,4,created
13,"Ch.9 Introduction","Indonesia_Inflation_Targeting_Framework_Legal_Foundation","E:\Wiki Link\03_wiki\definitions\Indonesia_Inflation_Targeting_Framework_Legal_Foundation.md",definition,5,created
16,"Ch.9: Evolution Thus Far","Indonesia_ITF_Evolution_Transition_to_Full_Implementation","E:\Wiki Link\03_wiki\mechanisms\Indonesia_ITF_Evolution_Transition_to_Full_Implementation.md",mechanism,4,created
17,"Ch.9: Concluding Remarks","Flexible_ITF_Post_Crisis_Monetary_Policy_Paradigm","E:\Wiki Link\03_wiki\perspectives\Flexible_ITF_Post_Crisis_Monetary_Policy_Paradigm.md",perspective,4,created
22,"Ch.10: Introduction","Monetary_Policy_Credibility_Definition","E:\Wiki Link\03_wiki\definitions\Monetary_Policy_Credibility_Definition.md",definition,5,created
23,"Ch.10: Conceptual Dimension of Policy Credibility","Credibility_Problem_Five_Causes","E:\Wiki Link\03_wiki\mechanisms\Credibility_Problem_Five_Causes.md",mechanism,4,created
24,"Ch.10: Theoretical Model (Time Inconsistency)","Credibility_Problem_Five_Causes","E:\Wiki Link\03_wiki\mechanisms\Credibility_Problem_Five_Causes.md",mechanism,4,created (combined)
25,"Ch.10: Empirical Studies (Credibility Measures)","Credibility_Problem_Five_Causes","E:\Wiki Link\03_wiki\mechanisms\Credibility_Problem_Five_Causes.md",mechanism,4,created (combined)
26,"Ch.10: Assessing Credibility in Indonesia","Credibility_Problem_Five_Causes","E:\Wiki Link\03_wiki\mechanisms\Credibility_Problem_Five_Causes.md",mechanism,4,created (combined)
27,"Ch.10: Concluding Remarks","Credibility_Problem_Five_Causes","E:\Wiki Link\03_wiki\mechanisms\Credibility_Problem_Five_Causes.md",mechanism,4,created (combined)
29,"Ch.11: Introduction","Central_Bank_Independence_Dimensions","E:\Wiki Link\03_wiki\definitions\Central_Bank_Independence_Dimensions.md",definition,5,created
30,"Ch.11: Conceptual Dimensions (Independence & Accountability)","Central_Bank_Independence_Dimensions","E:\Wiki Link\03_wiki\definitions\Central_Bank_Independence_Dimensions.md",definition,5,created (combined)
31,"Ch.11: Theoretical Models (Independence & Accountability)","Central_Bank_Independence_Dimensions","E:\Wiki Link\03_wiki\definitions\Central_Bank_Independence_Dimensions.md",definition,5,created (combined)
32,"Ch.11: Empirical Studies (Independence)","Central_Bank_Independence_Dimensions","E:\Wiki Link\03_wiki\definitions\Central_Bank_Independence_Dimensions.md",definition,5,created (combined)
34,"Ch.11: Concluding Remarks","Central_Bank_Independence_Dimensions","E:\Wiki Link\03_wiki\definitions\Central_Bank_Independence_Dimensions.md",definition,5,created (combined)
36,"Ch.12: Introduction","Monetary_Policy_Transparency_Definition","E:\Wiki Link\03_wiki\definitions\Monetary_Policy_Transparency_Definition.md",definition,5,created
37,"Ch.12: Conceptual Dimension (Transparency & Communication)","Monetary_Policy_Transparency_Definition","E:\Wiki Link\03_wiki\definitions\Monetary_Policy_Transparency_Definition.md",definition,5,created (combined)
39,"Ch.12: Practices/Empirical Studies","Monetary_Policy_Transparency_Definition","E:\Wiki Link\03_wiki\definitions\Monetary_Policy_Transparency_Definition.md",definition,5,created (combined)
40,"Ch.12: Transparency in Indonesia","Indonesia_Bank_Indonesia_Transparency_Communication_Strategy","E:\Wiki Link\03_wiki\perspectives\Indonesia_Bank_Indonesia_Transparency_Communication_Strategy.md",perspective,4,created
41,"Ch.12: Concluding Remarks","Monetary_Policy_Transparency_Future_Paradigm","E:\Wiki Link\03_wiki\perspectives\Monetary_Policy_Transparency_Future_Paradigm.md",perspective,4,created
,,"SUMMARY: 7 primary nodes created + 2 synthesis nodes addressing multiple sections","","","",
